,location,order,Omega,Irribaren,mean wave merging maxima,mean non wave merging maxima
0,Werri Beach,1,1.89,4.49,0.7276644729721229,0.5862457296472254
1,Werri Beach,1,1.89,4.49,0.7951067500115986,0.6366710389928358
2,Werri Beach,1,1.89,4.49,0.7835731739940475,0.6912187791535781
3,Werri Beach,1,1.89,4.49,0.8557507591603256,0.5800725618407693
4,Werri Beach,1,1.89,4.49,0.7440000279552128,0.5686372804670434
5,Werri Beach,1,1.89,4.49,0.7148921365752747,0.7140422574746126
6,Werri Beach,1,1.89,4.49,0.716197789011016,0.7285909477853638
7,Werri Beach,1,1.89,4.49,0.8389961409468221,0.6970915132348641
8,Werri Beach,1,1.89,4.49,0.6745612666235963,0.6336725821310208
9,Werri Beach,1,1.89,4.49,0.7347187488794942,0.7429120308650679
10,Werri Beach,1,1.89,4.49,0.7614277784038539,0.6356662251516241
11,Werri Beach,1,1.89,4.49,0.7156471403404591,0.6157801309345905
12,One Mile Beach,2,3.39,1.32,0.7196978644148235,0.5548946334483718
13,One Mile Beach,2,3.39,1.32,0.6468780557422203,0.461781998423037
14,One Mile Beach,2,3.39,1.32,0.9556785437537401,0.597243173360033
15,One Mile Beach,2,3.39,1.32,0.6406346056425601,0.4353853711174105
16,One Mile Beach,2,3.39,1.32,0.7595259046837403,0.6521845432100948
17,One Mile Beach,2,3.39,1.32,0.8323847277828886,0.6988950166945291
18,One Mile Beach,2,3.39,1.32,0.8276790397500755,0.6224090372259757
19,One Mile Beach,2,3.39,1.32,0.6490652390207468,0.49987631000008126
20,One Mile Beach,2,3.39,1.32,0.8008349814902926,0.6265465319199541
21,One Mile Beach,2,3.39,1.32,0.78646334255094,0.6006593001110159
22,One Mile Beach,2,3.39,1.32,0.6939451001305766,0.5935704707428672
23,One Mile Beach,2,3.39,1.32,0.7088411339916701,0.48695623908359464
24,Moreton Island,3,3.47,2.35,0.6375716511368341,0.6503929008849656
25,Moreton Island,3,3.47,2.35,0.7894258342246788,0.6353691338498282
26,Moreton Island,3,3.47,2.35,0.8263158447721461,0.599231908395122
27,Moreton Island,3,3.47,2.35,0.6064619297225536,0.5187752522229165
28,Moreton Island,3,3.47,2.35,0.6391371227872896,0.45952032588737446
29,Moreton Island,3,3.47,2.35,0.748259394525719,0.6797401593886914
30,Moreton Island,3,3.47,2.35,0.8400643031538889,0.7010510996609645
31,Moreton Island,3,3.47,2.35,0.6955930608804695,0.6270084366307538
32,Moreton Island,3,3.47,2.35,0.8577540813494572,0.7031063151393828
33,Moreton Island,3,3.47,2.35,0.855489059782036,0.6774260402320079
34,Moreton Island,3,3.47,2.35,0.846657833486303,0.6410749164009301
35,Moreton Island,3,3.47,2.35,0.7512948279285352,0.6402840464042583
36,Seven Mile Beach,4,3.77,1.21,0.8178278072317449,0.5815880017405375
37,Seven Mile Beach,4,3.77,1.21,0.6867572810526628,0.7757801698089013
38,Seven Mile Beach,4,3.77,1.21,0.8339429912749362,0.8403562507017118
39,Seven Mile Beach,4,3.77,1.21,0.6728182477176242,0.6340428666423974
40,Seven Mile Beach,4,3.77,1.21,0.6974040635763109,0.6261009053726743
41,Seven Mile Beach,4,3.77,1.21,0.769188959517328,0.6363392798929239
42,Seven Mile Beach,4,3.77,1.21,0.6827887955847696,0.5758459471893222
43,Seven Mile Beach,4,3.77,1.21,0.7932513637398872,0.5356141815677853
44,Seven Mile Beach,4,3.77,1.21,0.7019745683338784,0.7080157425441864
45,Seven Mile Beach,4,3.77,1.21,0.7944455524883294,0.6280111769342505
46,Seven Mile Beach,4,3.77,1.21,0.6376977184269279,0.6349263546125621
47,Seven Mile Beach,4,3.77,1.21,0.6661952132063591,0.5184824179661401
48,Nobbys Beach,5,6.15,1.66,0.6668066730759763,0.6507794739623609
49,Nobbys Beach,5,6.15,1.66,0.6607453424804461,0.6544006969423288
50,Nobbys Beach,5,6.15,1.66,0.7530870384183495,0.5999903125871817
51,Nobbys Beach,5,6.15,1.66,0.7247459426030467,0.6470916056958327
52,Nobbys Beach,5,6.15,1.66,0.8155183651339956,0.7265864711944652
53,Nobbys Beach,5,6.15,1.66,0.6901356756307221,0.5552377075230768
54,Nobbys Beach,5,6.15,1.66,0.7792777531584599,0.7433686281549499
55,Nobbys Beach,5,6.15,1.66,0.6713656329604545,0.7071711015814046
56,Nobbys Beach,5,6.15,1.66,0.6111462154229129,0.5746750488955983
57,Nobbys Beach,5,6.15,1.66,0.7920192454526414,0.6052269846539451
58,Nobbys Beach,5,6.15,1.66,0.6735028326423057,0.6472973675999323
59,Nobbys Beach,5,6.15,1.66,0.7170870176495173,0.6035473809861142
60,Frazer Beach,6,6.35,0.9,0.654204387179009,0.43513202894747616
61,Frazer Beach,6,6.35,0.9,0.5132815140822553,0.4743917732751023
62,Frazer Beach,6,6.35,0.9,0.5806327199702345,0.6096033264697882
63,Frazer Beach,6,6.35,0.9,0.5769486802859929,0.5441750660194546
64,Frazer Beach,6,6.35,0.9,0.7206389995224844,0.5085852935778465
65,Frazer Beach,6,6.35,0.9,0.7232934762339747,0.5907844247966983
66,Frazer Beach,6,6.35,0.9,0.6359065394354028,0.5533625598716447
67,Frazer Beach,6,6.35,0.9,0.7274794805696471,0.6059536794585032
68,Frazer Beach,6,6.35,0.9,0.671578170430437,0.6161253635885777
69,Frazer Beach,6,6.35,0.9,0.6129894394518114,0.3972628028774332
70,Frazer Beach,6,6.35,0.9,0.7543262616323072,0.6933357467240371
71,Frazer Beach,6,6.35,0.9,0.7668240402239439,0.5821713676830095
