point,x,y,z
origin,0,0,0
profile 01 0000,-14.357,-9.226,-0.543
profile 01 0001,-14.344,-9.307,-0.532
profile 01 0002,-14.373,-9.443,-0.538
profile 01 0003,-14.53,-10.21,-0.553
profile 01 0004,-14.706,-11.183,-0.566
profile 01 0005,-14.764,-11.576,-0.57
profile 01 0006,-14.831,-12.03,-0.573
profile 01 0007,-14.982,-13.285,-0.643
profile 01 0008,-15.121,-14.117,-0.655
profile 01 0009,-15.147,-14.47,-0.682
profile 01 0010,-15.193,-14.866,-0.71
profile 01 0011,-15.393,-16.086,-0.754
profile 01 0012,-15.501,-17.068,-0.784
profile 01 0013,-15.576,-17.458,-0.801
profile 01 0014,-15.595,-17.863,-0.812
profile 01 0015,-15.706,-18.978,-0.833
profile 01 0016,-15.869,-19.996,-0.869
profile 01 0017,-15.911,-20.328,-0.888
profile 01 0018,-15.934,-20.751,-0.906
profile 01 0019,-15.868,-21.886,-0.953
profile 01 0020,-15.916,-22.659,-0.981
profile 01 0021,-15.92,-22.948,-0.984
profile 01 0022,-15.948,-23.293,-1.005
profile 01 0023,-16.045,-24.371,-1.059
profile 01 0024,-16.057,-25.096,-1.091
profile 01 0025,-16.064,-25.445,-1.112
profile 01 0026,-16.106,-25.805,-1.133
profile 01 0027,-16.231,-26.842,-1.201
profile 01 0028,-16.329,-27.732,-1.257
profile 01 0029,-16.364,-28.043,-1.268
profile 01 0030,-16.36,-28.401,-1.3
profile 01 0031,-16.501,-29.547,-1.386
profile 01 0032,-16.614,-30.33,-1.443
profile 01 0033,-16.672,-30.671,-1.481
profile 01 0034,-16.688,-31.046,-1.504
profile 01 0035,-16.776,-32.177,-1.585
profile 01 0036,-16.814,-33.082,-1.687
profile 01 0037,-16.832,-33.4,-1.721
profile 01 0038,-16.836,-33.751,-1.748
profile 01 0039,-16.888,-34.8,-1.84
profile 01 0040,-16.979,-35.779,-1.93
profile 01 0041,-17.048,-36.136,-1.953
profile 01 0042,-17.09,-36.537,-1.985
profile 01 0043,-17.136,-37.761,-2.105
profile 01 0044,-17.146,-38.584,-2.177
profile 01 0045,-17.145,-38.826,-2.193
profile 01 0046,-17.185,-39.103,-2.228
profile 01 0047,-17.076,-39.098,-2.272
profile 01 0048,-17.139,-39.271,-2.286
profile 01 0049,-17.172,-39.438,-2.297
profile 01 0050,-17.228,-39.726,-2.331
profile 01 0051,-17.163,-40.08,-2.346
profile 01 0052,-17.25,-40.278,-2.369
profile 01 0053,-17.334,-40.496,-2.391
profile 01 0054,-17.498,-41.336,-2.475
profile 01 0055,-17.564,-42.015,-2.547
profile 01 0056,-17.626,-42.312,-2.568
profile 01 0057,-17.648,-42.552,-2.581
profile 01 0058,-17.811,-43.354,-2.662
profile 01 0059,-17.938,-43.859,-2.72
profile 01 0060,-17.965,-44.04,-2.728
profile 01 0061,-18.043,-44.263,-2.748
profile 01 0062,-18.168,-44.799,-2.822
profile 01 0063,-18.048,-44.575,-2.81
profile 01 0064,-18.037,-44.493,-2.791
profile 01 0065,-18.044,-44.398,-2.786
profile 01 0066,-18.108,-44.534,-2.789
profile 01 0067,-18.223,-45.19,-2.824
profile 01 0068,-18.28,-45.66,-2.848
profile 01 0069,-18.292,-45.91,-2.862
profile 01 0070,-18.396,-46.179,-2.89
profile 01 0071,-18.557,-47.02,-2.93
profile 01 0072,-18.621,-47.836,-2.985
profile 01 0073,-18.619,-48.1,-2.993
profile 01 0074,-18.689,-48.411,-3.002
profile 01 0075,-18.94,-49.177,-3.059
profile 01 0076,-19.079,-49.683,-3.104
profile 01 0077,-19.094,-49.78,-3.118
profile 01 0078,-19.106,-49.99,-3.149
profile 01 0079,-19.051,-49.988,-3.196
profile 01 0080,-19.056,-50.134,-3.161
profile 01 0081,-19.034,-50.559,-3.156
profile 01 0082,-19.052,-50.678,-3.169
profile 01 0083,-19.126,-50.656,-3.171
profile 01 0084,-19.221,-50.65,-3.176
profile 01 0085,-19.224,-50.364,-3.179
profile 01 0086,-19.121,-49.925,-3.063
profile 01 0087,-18.904,-49.201,-2.996
profile 01 0088,-18.684,-48.999,-3.026
profile 01 0089,-18.763,-49.367,-3.028
profile 01 0090,-18.87,-49.404,-3.031
profile 01 0091,-19.01,-49.494,-3.043
profile 01 0092,-19.124,-50.304,-3.115
profile 01 0093,-19.184,-50.963,-3.167
profile 01 0094,-19.242,-51.309,-3.169
profile 01 0095,-19.272,-51.655,-3.18
profile 01 0096,-19.502,-52.672,-3.253
profile 01 0097,-19.635,-53.519,-3.298
profile 01 0098,-19.719,-53.842,-3.321
profile 01 0099,-19.78,-54.228,-3.319
profile 01 0100,-19.988,-55.221,-3.333
profile 01 0101,-20.087,-55.367,-3.129
profile 01 0102,-20.217,-55.211,-3.156
profile 01 0103,-20.341,-55.11,-3.358
profile 01 0104,-20.64,-55.697,-3.391
profile 01 0105,-20.786,-56.19,-3.397
profile 01 0106,-20.834,-56.443,-3.418
profile 01 0107,-20.81,-56.725,-3.417
