,x,z
0,-67.0,-0.7566182063711812
1,-64.62820383139733,-0.7200643387735088
2,-62.25640766279464,-0.6793437566116827
3,-59.884611494191965,-0.714804196319087
4,-57.51281532558929,-0.8014543769179472
5,-55.141019156986616,-0.9896183747560204
6,-52.76922298838394,-1.2436227468945438
7,-50.39742681978126,-1.5085389609116
8,-48.02563065117858,-1.747056413343882
9,-45.6538344825759,-1.9439126118121939
10,-43.282038313973224,-2.118369866205103
11,-40.910242145370546,-2.2857600839112946
12,-38.538445976767875,-2.456745031048599
13,-36.16664980816519,-2.5904219949307024
14,-33.79485363956252,-2.713151206471169
15,-31.42305747095984,-2.866956945119804
16,-29.05126130235716,-3.01544409136741
17,-26.679465133754483,-3.0541038537640075
18,-24.307668965151805,-3.0265307635848453
19,-21.935872796549127,-3.0787600180721313
20,-19.56407662794645,-3.140417473302839
21,-17.192280459343777,-3.1940976274483264
22,-14.8204842907411,-3.3337459942057297
23,-12.448688122138421,-3.4290279242924426
24,-10.076891953535743,-3.5536683861191114
25,-7.705095784933064,-3.6310056996840303
26,-5.333299616330386,-3.7195386062469367
27,-2.961503447727708,-3.8872902912725418
28,-0.5897072791250366,-4.009683784222469
29,1.7820888894776488,-4.10504306716592
